id,phase,periode_relative,objectif,critere_sortie
P00,Cadrage programme et gouvernance,T0 à T0+1 mois,"Sécuriser le périmètre, le pilotage, les règles d’architecture et les standards de livraison.","Go programme signé, backlog initial priorisé, gouvernance active."
P01,Socle engineering et plateforme,T0+1 à T0+3 mois,"Mettre en place le dépôt, l’architecture logicielle, la CI/CD, les environnements, le socle API et les conventions.","Pipeline vert, socle exécutable, tests de base, packaging reproductible."
P02,Data Platform PostgreSQL Cluster,T0+2 à T0+5 mois,"Implémenter la persistance transactionnelle HA, migrations, partitionnement, observabilité SQL et stratégie hot/warm/cold.","Cluster PostgreSQL validé, DDL initial versionné, partitions et migrations testées."
P03,Source of Truth et modèle commun,T0+3 à T0+7 mois,"Livrer le référentiel central : tenants, objets, relations, tags, custom fields, historique, audit et gouvernance minimale.","CRUD API/UI complet, historique time travel initial, audit, RBAC objet."
P04,DCIM fondation et localisation univoque,T0+5 à T0+9 mois,"Livrer sites, bâtiments, salles, grille ligne/colonne/X/Y/Z, racks, U, chemins physiques, QR codes.",Un équipement physique est localisable sans ambiguïté avec contraintes obligatoires.
P05,IPAM Enterprise++ fondation,T0+5 à T0+10 mois,"Livrer IPv4/IPv6, VRF, prefixes, plages, adresses, réservations transactionnelles, conflits et capacité.","Allocation IP concurrente sans collision, API IPAM utilisable en automatisation."
P06,"Imports, exports et migration initiale",T0+7 à T0+11 mois,"Livrer imports massifs, dry-run, mapping, validation, rollback, reprise et exports asynchrones.","Import million de lignes validé, rapport d’impact, reprise après interruption."
P07,Discovery distribuée et réconciliation,T0+8 à T0+14 mois,"Livrer orchestrateur, collectors, SNMP/SSH/VMware/Cloud/Kubernetes, preuves, score de confiance et conflits.","Découverte distribuée non bloquante, réconciliation gouvernée, aucune écriture silencieuse."
P08,Dependency Mapping et flux réseau,T0+10 à T0+16 mois,"Livrer graphe de dépendances, analyse d’impact, matrice de flux déclarés/observés, SPOF et visualisations.","Graphe applicatif/réseau exploitable, flux comparés, impact calculé."
P09,"ITAM, licences, contrats et lifecycle",T0+11 à T0+17 mois,"Livrer actifs, cycle de vie, logiciels, licences, contrats, garanties, EOL/EOS, coûts de base.",Inventaire complet avec conformité lifecycle et rapports contractuels.
P10,"Sécurité, conformité, politiques et audit avancé",T0+4 à T0+18 mois,"Renforcer RBAC/ABAC, SSO/MFA, secrets, audit immuable, policy engine, conformité continue.","Contrôles sécurité validés, audit inviolable ou append-only, policies exécutées."
P11,Field Operations et simulation,T0+14 à T0+20 mois,"Livrer fiches intervention, mobile/offline, checklists, simulation placement/changement/migration.","Interventions terrain guidées, impacts simulés avant exécution."
P12,"FinOps, GreenOps, SBOM et exposition",T0+16 à T0+24 mois,"Livrer coûts, chargeback/showback, énergie/carbone, SBOM, vulnérabilités contextualisées.",Pilotage coût/risque/énergie corrélé aux actifs et services.
P13,IA/RAG et automatisation gouvernée,T0+18 à T0+26 mois,"Livrer recherche naturelle, assistant RAG cité, détection anomalies, recommandations non destructives.","Réponses sourcées, filtrées par droits, aucune action destructive sans validation."
P14,Industrialisation GA et scale enterprise,T0+20 à T0+30 mois,"Valider production, performance, résilience, PRA/PCA, documentation, support, packaging et montée en charge.","Release GA signée, tests charge/chaos/PITR/failover passants, runbooks validés."
