id,phase,stream,priority,title,summary,deliverables,dependencies,acceptance
EPIC-0001,P00,STR-PROD,P1,Matrice CDC v4.8.1 vers roadmap,"Cartographier toutes les décisions CDC v4.8.1 vers phases, epics, releases et validations.",Matrice CDC→roadmap; backlog recalé; écarts résolus.,Aucun,Chaque exigence structurante dispose d’une cible phase/release.
EPIC-0002,P00,STR-ARCH,P1,ADR consolidation v4.8.1,"Consolider décisions éditions, installateurs, services, stockage PostgreSQL et multisite dans les ADR/RFC.",ADR mis à jour; registre décisions; impacts architecture.,Aucun,Aucune décision de packaging/service/storage sans ADR.
EPIC-0003,P00,STR-PROD,P1,Priorisation MVP par édition,Définir les seuils Lite/Pro/Entreprise et les fonctionnalités minimales par release.,Backlog édition; limites; critères d’acceptation.,Aucun,Lite/Pro/Entreprise ont chacun un MVP validable.
EPIC-0004,P00,STR-QA,P1,Quality gates v4.8.1,"Actualiser DoD/DoR et validations bloquantes avec installateurs, PGDATA, LDAP/IPA et multisite.",DoD; DoR; gates; plan tests.,Aucun,"Aucune release sans tests installateur, service et migration."
EPIC-0005,P00,STR-SRE,P1,Runbook programme initial,"Définir procédures d’installation, rollback, migration et exploitation attendues.",Runbooks initiaux; plan validation exploitation.,Aucun,Les opérations critiques ont une procédure testable.
EPIC-0006,P00,STR-DOC,P1,Documentation roadmap v2,Publier roadmap v2 et notes de changement.,Roadmap; changelog; matrices.,Aucun,"Roadmap approuvée par produit, architecture, SRE et QA."
EPIC-0101,P01,STR-BE,P1,Repository et architecture modulaire,"Créer dépôt, modules, packaging, conventions et frontières domaine/application/infrastructure/interfaces.",Repository; structure; configs; scripts dev.,P00,"Un contributeur clone, teste et lance localement."
EPIC-0102,P01,STR-BE,P1,API REST baseline et OpenAPI,"Livrer API versionnée, pagination, filtres, erreurs normalisées et OpenAPI.",REST v1; OpenAPI; tests API.,P00,Toutes les listes imposent limite et cursor.
EPIC-0103,P01,STR-BE,P1,CLI baseline,"Créer CLI OpenInfra avec commandes version, doctor, config, install-validation et health.",CLI; tests; docs.,P00,La CLI appelle les mêmes services applicatifs que l’API.
EPIC-0104,P01,STR-QA,P1,CI/CD complète,"Mettre en place format, lint, type check, tests, sécurité, packaging, smoke et coverage gates.",GitHub Actions; artefacts; rapports.,P00,Pipeline vert obligatoire sur branche principale.
EPIC-0105,P01,STR-SEC,P1,Threat model initial,"Identifier menaces API, installateurs, secrets, discovery, LDAP/IPA et PostgreSQL.",Threat model; risques; exigences sécurité.,P00,Risques critiques ont mitigations et tests.
EPIC-0106,P01,STR-DOC,P2,Guide développeur initial,"Documenter installation dev, conventions, API, tests, branches et troubleshooting.",README; guide dev; contribution.,P01,Nouveau dev opérationnel sans assistance non documentée.
EPIC-0201,P02,STR-ED,P1,Edition model Lite/Pro/Entreprise,"Implémenter modèle d’éditions, quotas, capacités activables et limites.",Edition registry; config; tests gates.,P01,Les quotas Lite/Pro/Entreprise sont appliqués et testés.
EPIC-0202,P02,STR-ED,P1,Feature gates et licence Pro/Entreprise,"Livrer feature gates, abonnement/licence Pro/Entreprise, audit et messages d’erreur.",License service; audit; tests.,P02,Une fonctionnalité non autorisée est bloquée proprement.
EPIC-0203,P02,STR-ED,P1,Matrice capacités édition,Maintenir matrice capacité↔édition comme contrat de release.,CSV; docs; tests conformité.,P02,Chaque capacité a statut par édition.
EPIC-0204,P02,STR-BE,P1,Quotas runtime,"Appliquer limites équipements, subnets/VLAN, réservations IP/DNS et utilisateurs.",Quota service; migrations; tests.,P02,Dépassement limite refusé sans corruption.
EPIC-0205,P02,STR-QA,P1,Tests de conformité éditions,Automatiser scénarios Lite/Pro/Entreprise en CI.,Test matrix; fixtures; reports.,P02,CI valide les trois éditions.
EPIC-0206,P02,STR-PROD,P2,Notes de release par édition,Définir format des notes et limites par édition.,Template release notes; guide support.,P02,Chaque release documente différences d’édition.
EPIC-0301,P03,STR-PKG,P1,Arborescence installers hors src,"Créer installers/ par édition et scope, strictement hors src.",installers/; conventions; validation.,P01,Aucun script installateur n’est dans src.
EPIC-0302,P03,STR-PKG,P1,Fichier config/install.ini par scope,"Livrer install.ini pour all-in-one, server, web et agent selon édition.",Templates install.ini; schema; docs.,P03,Chaque scope possède config/install.ini validé.
EPIC-0303,P03,STR-PKG,P1,Installation automatique des dépendances,"Détecter OS, configurer dépôts si autorisé et installer dépendances requises.",Dependency resolver; logs; rollback.,P03,Blocage explicite si dépendance critique indisponible.
